Council,Language,Total,Fiction,NonFiction,DVDs/CDs,Magazines / Newspapers,Adult,YoungAdult,Children,Physical,Digital
Melton,Indonesian,2,0,0,0,2,2,0,0,0,2
Melton,Italian,83,27,0,0,56,80,0,3,3,80
Melton,Japanese,81,1,0,0,80,80,0,1,1,80
Melton,Korean,4,0,0,0,4,4,0,0,0,4
Melton,Macedonian,3,0,0,0,3,3,0,0,3,0
Melton,Malayalam,26,0,0,25,1,26,0,0,25,1
Melton,Maltese,60,0,0,59,1,60,0,0,60,0
Melton,Marathi,2,0,0,2,0,2,0,0,2,0
Melton,Nepali,18,18,0,0,0,18,0,0,0,18
Melton,Norwegian,1,0,0,0,1,1,0,0,0,1
Melton,Panjabi,36,1,0,34,1,35,0,1,36,0
Melton,Polish,51,51,0,0,0,50,0,1,1,50
Melton,Portuguese,18,0,0,0,18,18,0,0,0,18
Melton,Russian,47,0,0,0,47,47,0,0,0,47
Melton,Serbian,29,28,0,0,1,29,0,0,1,28
Melton,Sinhalese,66,0,0,66,0,65,0,1,66,0
Melton,Spanish,382,51,0,106,225,378,0,4,108,274
Melton,Swedish,30,0,0,0,30,30,0,0,0,30
Melton,Tagalog,49,49,0,0,0,49,0,0,0,49
Melton,Tamil,35,2,0,33,0,33,0,2,35,0
Melton,Urdu,14,13,0,1,0,14,0,0,1,13
Melton,Vietnamese,42,38,0,0,4,39,0,3,6,36
Melton,Welsh,4,0,0,0,4,4,0,0,0,4
Mitchell,Arabic,67,0,0,0,0,0,0,21,46,21
Mitchell,Armenian,10,0,0,0,0,0,0,10,0,10
Mitchell,Bengali,17,0,0,0,0,0,0,17,0,17
Mitchell,Burmese,10,0,0,0,0,0,0,10,0,10
Mitchell,Canadian French,10,0,0,0,0,0,0,10,0,10
Mitchell,Cantonese,10,0,0,0,0,0,0,10,0,10
Mitchell,Chinese,48,0,0,0,0,0,0,0,48,0
Mitchell,Danish,32,0,0,0,0,0,0,32,0,32
Mitchell,Dutch,21,0,0,0,0,0,0,21,0,21
Mitchell,Filipino,10,0,0,0,0,0,0,10,0,10
Mitchell,French,68,0,0,0,0,0,0,68,0,68
Mitchell,German,43,0,0,0,0,0,0,43,0,43
Mitchell,Greek,21,0,0,0,0,0,0,21,0,21
Mitchell,Gujarati,15,0,0,0,0,0,0,15,0,15
Mitchell,Hindi,120,0,0,0,0,0,0,60,60,60
Mitchell,Indonesian,10,0,0,0,0,0,0,10,0,10
Mitchell,Italian,67,0,0,0,0,0,0,67,0,67
Mitchell,Japanese,16,0,0,0,0,0,0,16,0,16
Mitchell,Korean,10,0,0,0,0,0,0,10,0,10
Mitchell,Lidepla,6,0,0,0,0,0,0,6,0,6
Mitchell,Malayalam,6,0,0,0,0,0,0,6,0,6
Mitchell,Mandarin,31,0,0,0,0,0,0,31,0,31
Mitchell,Marathi,19,0,0,0,0,0,0,19,0,19
Mitchell,Nepali,10,0,0,0,0,0,0,10,0,10
Mitchell,Panjabi,71,0,0,0,0,0,0,11,60,11
Mitchell,Persian,10,0,0,0,0,0,0,10,0,10
Mitchell,Polish,21,0,0,0,0,0,0,21,0,21
Mitchell,Portuguese,68,0,0,0,0,0,0,68,0,68
Mitchell,Romanian,13,0,0,0,0,0,0,13,0,13
Mitchell,Russian,58,0,0,0,0,0,0,58,0,58
Mitchell,Serbian,19,0,0,0,0,0,0,19,0,19
Mitchell,Sinhalese,10,0,0,0,0,0,0,10,0,10
Mitchell,Spanish,138,0,0,0,0,0,0,138,0,138
Mitchell,Swahili,5,0,0,0,0,0,0,5,0,5
Mitchell,Swedish,50,0,0,0,0,0,0,50,0,50
Mitchell,Tamil,32,0,0,0,0,0,0,32,0,32
Mitchell,Telugu,13,0,0,0,0,0,0,13,0,13
Mitchell,Thai,10,0,0,0,0,0,0,10,0,10
Mitchell,Turkish,22,0,0,0,0,0,0,22,0,22
Mitchell,Urdu,15,0,0,0,0,0,0,15,0,15
Mitchell,Vietnamese,25,0,0,0,0,0,0,25,0,25
Monash,Afrikaans,2,0,0,0,2,2,0,0,0,2
Monash,Albanian,1,0,0,0,1,1,0,0,0,1
Monash,Arabic,679,642,0,33,4,463,216,0,677,2
Monash,Armenian,1,0,0,0,1,1,0,0,0,1
Monash,Belarusian,2,0,0,0,2,2,0,0,0,2
Monash,Bengali,541,472,0,60,9,382,159,0,541,0
Monash,Bosnian,1,0,0,0,1,1,0,0,0,1
Monash,Bulgarian,1,0,0,0,1,1,0,0,0,1
Monash,Burmese,1,0,0,0,1,1,0,0,0,1
Monash,Catalan,3,0,0,0,3,3,0,0,0,3
Monash,Cebuano,1,0,0,0,1,1,0,0,0,1
Monash,Chinese,20904,12945,6971,390,598,14869,5347,688,20897,7
Monash,Croatian,1,0,0,0,1,1,0,0,0,1
Monash,Czech,1,0,0,0,1,1,0,0,0,1
Monash,Danish,1,0,0,0,1,1,0,0,0,1
Monash,Dutch,1,0,0,0,1,1,0,0,0,1
Monash,Finnish,1,0,0,0,1,1,0,0,0,1
